Tensión (MPa),Deformación (%),Dureza Brinell,Dureza Rockwell,Dureza Vickers,Tenacidad (MJ/m3),Módulo de Young (GPa),Límite elástico (MPa),Carga máxima (kN),Fuerza de fractura (kN),Alargamiento (%),Reducción de área (%),Velocidad de ensayo (mm/min),Espesor (mm),Diámetro (mm),Ancho de muestra (mm),Altura de muestra (mm),Temperatura (°C),Tiempo de ensayo (s),Peso (kg),Energía absorbida (J),Fatiga (ciclos),Coef. de fricción,Conductividad térmica (W/mK),Densidad (g/cm3),Calor específico (J/kgK),Resistencia a la tracción (MPa),Índice de resiliencia,Viscosidad (Pa·s),Índice de impacto,Índice de fluencia,Presión de trabajo (MPa),Presión de rotura (MPa),Tiempo hasta falla (h),Índice de rigidez,Índice de elasticidad,Índice de eficiencia,Índice de fatiga,Índice de absorción,Índice de desgaste,Índice térmico,Coef. de expansión,Índice de conductividad,Índice de resistencia al corte,Carga de pandeo (N),Torque máximo (Nm),Índice de eficiencia térmica,Índice de módulo de rotura,Coef. de seguridad
363.69,480.64,187.49,521.5,665.09,683.15,637.44,669.09,539.03,481.33,567.21,688.21,102.67,885.45,686.85,269.42,944.71,801.45,227.78,912.14,774.32,164.42,640.44,395.25,775.23,360.85,713.9,467.35,105.64,387.97,923.68,545.51,966.38,732.01,100.31,15.39,356.14,554.96,338.3,92.62,48.66,382.45,992.98,109.05,899.25,510.65,330.48,140.1,359.45
971.78,592.45,858.19,68.55,556.62,932.57,801.85,126.37,287.95,617.39,553.47,985.98,852.25,66.58,567.87,819.34,112.49,721.03,895.92,883.22,321.75,20.62,919.4,899.23,615.35,877.5,56.85,376.76,50.27,640.87,496.2,680.97,341.4,773.24,148.66,734.89,182.95,754.99,726.58,597.24,817.85,219.41,447.68,864.58,295.17,606.25,733.4,678.4,440.18
962.45,824.7,819.08,371.18,342.8,575.71,466.43,945.78,120.36,404.97,31.95,767.04,601.41,953.05,349.49,710.7,451.91,699.86,341.62,970.8,804.72,783.29,508.9,260.75,593.66,120.38,428.26,555.74,22.98,874.78,865.96,94.9,695.19,735.8,166.74,7.08,210.62,145.59,657.71,547.98,601.6,239.76,999.11,331.64,965.98,200.11,84.78,73.25,479.98
251.86,347.87,540.84,920.77,134.66,126.2,361.73,132.66,703.56,198.45,469.36,941.98,960.86,281.9,705.22,981.61,192.49,958.56,309.38,716.56,173.93,79.8,298.04,393.28,912.36,617.06,238.65,120.65,431.22,660.5,950.77,631.72,810.38,289.24,197.75,872.55,514.56,614.09,152.3,607.93,956.11,800.48,385.74,232.61,473.4,781.59,128.5,717.35,142.42
497.3,678.05,710.27,584.49,94.51,581.76,108.49,774.7,644.89,961.64,924.63,216.27,670.22,382.1,537.4,711.54,894.12,596.5,726.78,682.75,492.93,141.14,159.24,505.0,452.22,600.65,759.15,454.77,426.78,839.04,324.68,879.09,279.18,686.1,420.02,56.4,596.81,469.53,774.93,618.34,960.04,66.2,347.92,486.26,101.0,475.12,679.52,323.87,464.04
300.95,565.78,314.42,538.38,831.54,766.37,875.95,264.89,374.0,511.52,397.65,771.51,175.26,91.73,469.3,418.31,964.58,636.34,304.77,559.05,688.07,574.87,830.16,892.63,225.34,859.89,872.74,455.42,185.63,474.0,418.93,178.37,748.76,549.05,623.94,652.8,32.91,896.97,112.62,500.25,50.91,563.87,914.58,146.22,55.13,992.01,843.5,465.9,9.15
284.91,267.1,471.22,268.93,918.41,406.48,783.18,933.6,950.95,733.95,624.96,20.32,473.84,112.36,511.37,698.96,478.75,849.28,53.06,126.03,652.03,603.55,971.49,868.77,161.87,3.42,281.41,538.38,784.04,717.33,719.27,737.75,832.44,597.41,628.92,377.25,413.61,519.67,727.94,493.82,160.61,306.91,329.53,297.03,338.74,25.22,201.53,166.34,239.5
36.98,878.64,821.65,368.51,649.82,879.85,168.2,719.99,22.3,411.11,779.84,670.79,648.53,726.77,636.38,999.46,104.1,669.92,373.68,189.32,601.17,686.92,349.22,574.4,400.05,190.01,95.31,634.72,129.36,979.98,300.43,25.5,241.39,0.91,0.2,203.42,830.4,942.94,990.97,924.17,484.26,265.32,432.06,385.34,258.83,189.8,418.4,627.89,369.15
609.6,797.45,459.32,895.36,103.52,648.72,512.31,753.84,303.79,355.2,783.95,469.34,28.36,944.34,660.04,710.17,785.32,732.96,721.49,289.54,924.83,393.57,291.02,221.85,712.78,219.77,253.5,957.32,915.33,153.57,753.83,926.21,992.5,258.33,920.97,898.27,444.38,353.32,957.99,533.93,879.51,505.79,78.2,277.33,843.73,689.66,619.46,337.63,118.44
502.73,658.49,357.86,666.5,402.09,899.26,487.43,219.14,921.08,407.22,519.33,346.83,15.01,610.79,289.03,761.71,697.17,234.25,327.03,890.17,228.6,773.92,601.53,403.42,42.64,949.97,104.1,652.2,587.62,926.93,73.98,982.92,20.79,930.69,822.86,746.27,169.26,966.9,800.26,617.34,814.46,897.87,955.47,450.31,737.66,695.21,796.3,383.44,814.02
51.57,850.6,494.26,787.41,728.97,623.54,625.13,443.1,321.0,409.26,857.97,862.42,129.49,715.88,140.83,938.37,354.74,371.33,629.6,173.05,493.77,974.36,775.35,975.64,129.14,153.78,322.49,883.74,27.71,522.41,523.55,354.24,217.08,290.15,963.94,340.51,954.86,875.17,534.56,267.04,964.37,618.13,85.24,384.71,884.56,582.23,628.23,652.23,201.29
278.72,867.31,828.27,454.4,779.84,131.37,946.19,617.85,252.33,544.23,391.44,854.28,251.74,761.99,156.72,113.74,887.42,147.39,660.15,922.88,884.0,271.17,455.46,607.81,106.2,37.06,538.24,556.35,962.98,643.25,122.4,107.16,780.04,438.07,360.05,284.22,266.35,584.3,674.86,871.11,618.12,788.63,771.21,774.61,589.29,971.96,95.52,178.94,754.91
908.28,708.39,335.27,630.28,118.31,309.76,579.81,770.0,534.27,543.52,888.7,22.4,429.61,262.89,639.43,704.81,975.83,505.81,733.76,522.83,77.99,703.06,630.11,781.12,585.29,534.51,973.68,626.97,308.01,877.88,293.39,658.61,194.21,186.76,664.83,736.04,798.45,353.77,728.14,24.47,256.64,600.72,538.66,918.42,435.51,415.37,542.87,852.02,473.95
239.64,837.03,173.84,248.46,0.13,201.87,540.26,104.05,823.82,497.2,240.3,609.54,487.49,45.33,872.89,850.82,557.9,455.78,897.14,715.6,55.98,928.48,716.58,449.92,242.94,528.61,399.43,69.93,450.03,409.71,258.7,29.93,698.29,138.69,168.1,836.59,193.87,375.99,8.5,557.27,25.2,697.75,61.5,101.01,270.64,417.1,884.62,739.31,479.8
144.98,697.5,712.04,705.49,712.17,908.84,50.42,962.37,103.24,134.87,280.29,367.9,138.11,1.97,409.56,954.38,565.77,997.16,432.62,110.33,233.38,686.32,960.6,532.05,166.34,844.06,220.12,133.35,284.34,418.75,838.95,482.54,855.54,208.75,817.05,715.88,423.23,772.77,102.46,383.91,223.0,432.46,1.8,823.32,583.15,910.49,868.04,577.77,645.23
489.5,680.17,826.0,427.66,356.66,760.42,63.0,890.23,943.03,496.13,53.22,415.72,673.42,350.71,169.6,211.05,297.58,611.25,166.52,269.11,633.06,681.14,165.12,429.01,592.81,948.86,166.89,579.71,728.45,527.23,193.6,271.85,959.22,553.69,161.45,640.03,490.47,580.67,597.1,603.94,675.31,925.99,935.56,931.78,618.06,538.49,585.06,128.42,44.37
985.65,618.65,100.73,442.6,254.56,676.43,187.43,270.42,795.09,169.19,795.6,832.06,596.18,241.54,756.63,503.98,584.55,786.47,318.99,958.52,259.95,223.85,997.38,702.95,761.33,538.59,173.12,395.77,485.73,19.2,808.47,473.39,474.3,919.04,326.05,228.0,500.69,401.65,6.63,360.24,926.28,501.99,742.2,686.64,393.01,353.79,995.7,687.14,78.85
242.13,752.74,239.95,649.36,13.0,301.04,32.57,822.78,181.33,126.22,417.11,309.91,294.53,62.41,832.51,680.59,439.7,334.08,432.22,266.22,190.32,535.18,392.22,851.49,332.22,930.0,192.68,798.83,132.46,496.72,793.98,18.37,971.11,326.27,490.89,852.82,516.52,636.09,908.91,717.72,320.97,551.82,686.47,996.42,936.6,718.97,105.21,18.2,326.91
672.17,158.69,142.06,936.29,540.35,184.13,743.38,518.37,712.04,932.65,229.19,943.05,13.76,179.61,880.59,247.54,302.26,831.56,713.92,296.59,458.86,562.57,723.23,507.41,578.25,725.19,762.29,543.22,104.29,291.16,498.93,51.71,411.68,323.48,594.57,749.69,225.03,733.26,489.71,20.43,875.72,525.01,438.61,335.11,639.99,619.71,478.65,804.42,416.88
761.64,880.88,348.01,64.1,851.17,756.48,723.36,461.86,385.02,604.99,231.87,179.72,77.74,124.59,606.87,600.51,67.28,615.12,13.22,197.68,613.64,700.16,572.46,480.92,98.21,264.63,61.12,882.3,725.4,927.96,233.92,16.07,218.21,564.18,559.68,517.32,515.96,23.0,257.84,405.95,394.96,316.26,238.69,830.33,837.5,306.48,775.15,303.87,430.0
237.71,871.86,450.41,824.76,957.64,474.21,136.14,314.5,402.35,659.52,901.41,662.76,391.76,914.89,860.74,257.65,252.78,697.02,315.85,129.16,248.63,996.82,486.72,340.35,935.2,928.43,997.4,972.33,237.16,87.83,226.97,619.17,513.97,356.81,102.19,511.64,481.76,89.95,393.88,831.28,308.34,231.32,679.9,673.74,620.43,298.0,141.12,117.3,676.92
728.24,29.34,748.85,292.45,565.79,225.87,836.1,581.01,783.31,401.85,833.93,672.14,154.06,140.35,15.51,333.52,197.93,294.5,779.86,233.33,300.76,33.74,698.11,177.18,336.96,667.48,522.73,147.72,137.88,459.37,464.98,560.14,649.86,910.43,421.73,569.22,208.8,94.58,850.79,250.28,508.89,73.93,608.34,323.5,316.61,395.67,972.75,164.57,0.8
367.85,825.83,651.18,443.98,514.51,616.66,154.87,729.92,962.79,908.99,553.58,252.27,376.88,537.69,107.33,441.57,542.09,548.68,670.89,642.36,613.6,65.33,395.81,939.25,997.51,414.15,544.32,394.89,499.48,947.47,8.91,233.23,458.02,377.91,922.92,828.29,988.19,232.01,927.2,52.85,442.33,718.2,726.37,704.71,736.65,71.71,354.11,963.14,959.11
632.34,128.96,620.97,22.01,85.15,40.43,301.25,410.99,126.74,637.97,616.15,324.82,628.22,593.15,92.67,529.24,601.71,634.07,731.77,455.42,945.74,78.04,126.2,316.15,978.59,680.27,357.63,665.01,802.79,901.05,531.4,646.68,567.02,490.49,872.38,742.29,865.58,427.05,116.32,496.57,913.81,289.35,365.86,509.67,230.33,942.62,350.2,773.85,174.57
633.57,335.19,352.44,301.12,548.92,326.24,249.05,629.26,420.69,769.19,474.38,834.82,547.28,543.54,712.63,449.42,608.61,589.14,811.83,553.8,674.77,743.0,488.94,800.71,778.85,401.37,690.29,305.56,278.85,701.38,952.78,884.22,416.47,533.44,590.82,856.26,887.59,803.67,777.98,976.54,468.31,389.26,986.93,189.05,596.65,183.1,213.27,237.95,248.71
535.82,743.53,841.46,502.68,380.04,468.61,372.37,699.34,480.99,368.63,391.73,761.83,231.25,99.15,69.67,493.25,388.24,915.2,783.26,122.45,782.93,136.44,521.96,715.38,20.17,114.27,471.51,267.11,276.5,589.4,154.79,277.39,524.81,782.09,572.37,507.33,685.6,351.16,578.27,64.25,277.41,919.94,67.1,173.96,402.43,193.9,288.09,963.47,905.64
90.38,160.84,471.34,56.27,607.17,148.04,254.74,711.15,376.37,960.02,915.49,329.16,343.89,318.87,496.41,298.66,421.29,898.28,682.21,802.14,366.87,622.49,201.98,790.94,543.52,719.01,329.13,813.76,833.9,280.8,573.39,832.01,952.6,563.95,111.76,624.69,159.98,17.58,585.54,70.15,842.58,566.49,79.79,713.43,149.97,647.07,577.63,140.2,5.59
835.32,817.99,979.11,491.15,388.79,984.66,489.0,52.06,363.25,820.48,125.7,534.0,614.07,51.37,472.76,159.05,834.26,970.99,439.72,784.12,272.33,324.74,935.63,936.77,86.93,824.11,265.21,980.38,147.92,367.02,961.78,662.54,499.88,239.23,200.34,854.59,568.14,483.41,779.47,595.16,998.75,97.17,916.88,711.96,413.3,724.27,429.41,733.55,991.31
320.85,832.15,634.18,927.12,240.38,209.18,407.47,859.76,52.36,853.96,418.5,61.77,860.87,395.73,310.77,47.45,476.29,667.46,983.6,21.69,454.32,457.37,227.55,623.41,895.15,728.83,925.66,773.83,616.77,90.23,860.54,33.92,253.25,124.07,252.71,232.4,821.46,996.63,222.92,250.14,648.21,799.63,647.74,530.82,310.35,736.86,193.46,656.77,36.05
186.6,507.52,126.35,105.48,95.06,130.44,986.57,458.31,685.57,172.28,344.63,208.83,753.24,188.68,870.42,196.06,987.77,971.92,569.12,383.58,807.15,215.74,409.29,897.96,789.66,229.19,291.06,523.72,955.02,786.13,850.4,375.21,758.77,937.78,488.25,444.08,38.83,349.09,531.09,410.29,250.54,256.2,326.4,501.47,112.31,375.14,809.16,821.49,120.63
40.87,6.49,676.21,764.46,314.99,203.61,56.02,262.49,436.27,271.04,498.2,485.87,553.44,561.68,170.52,581.99,439.67,832.49,202.85,68.86,456.35,866.12,155.01,167.78,972.34,956.64,436.45,442.57,841.32,323.94,821.87,507.81,337.65,801.58,731.38,620.69,495.89,961.26,319.42,830.52,238.89,552.75,761.98,180.12,823.85,873.34,62.33,381.76,240.18
590.93,287.11,325.17,409.73,96.74,769.08,142.27,241.84,194.87,285.7,457.69,86.07,362.36,692.84,352.53,786.14,649.62,270.91,292.88,792.13,846.74,586.19,535.84,626.75,608.42,25.35,350.41,539.69,61.91,667.82,309.09,731.73,816.23,23.06,460.78,915.15,396.18,101.43,94.6,198.93,57.8,510.03,452.83,429.34,498.63,544.04,834.67,401.9,438.78
677.6,616.97,686.36,655.21,176.98,425.56,52.92,483.07,816.05,270.98,518.94,843.35,365.11,532.17,774.19,169.33,50.46,427.49,693.59,737.3,988.77,944.57,307.71,772.3,522.22,332.75,86.27,462.89,319.98,357.66,890.63,287.2,56.94,821.55,126.15,15.93,212.2,173.18,105.17,719.33,77.39,238.16,21.22,871.41,346.42,438.64,275.01,624.6,518.5
16.69,981.19,69.73,260.31,987.34,565.46,625.88,886.84,802.58,855.42,140.0,718.03,879.43,434.29,30.52,108.64,653.37,238.47,924.75,902.0,72.12,574.64,489.32,271.71,519.02,260.17,186.02,502.94,142.46,464.38,941.35,982.73,332.24,590.64,439.4,212.65,378.31,724.15,136.56,504.54,914.99,115.86,651.14,854.74,505.01,810.41,495.95,398.27,104.81
512.14,631.85,174.96,159.58,444.16,21.11,54.6,378.41,486.44,31.98,513.19,943.64,39.34,387.39,672.98,749.32,851.44,4.3,178.8,236.48,45.51,124.0,224.69,740.78,386.51,48.22,189.58,203.53,949.25,555.05,495.84,684.57,94.45,518.94,162.72,234.53,983.5,501.26,614.94,904.97,96.58,211.34,243.19,660.95,754.61,243.64,381.13,41.45,73.77
226.57,259.88,855.75,160.55,531.92,34.53,836.46,749.75,298.52,76.19,242.49,693.5,987.98,841.71,816.42,305.23,942.46,188.13,82.44,456.35,149.67,170.95,53.87,778.5,468.74,405.79,693.68,903.75,985.94,801.87,354.64,372.88,85.41,12.33,751.17,326.68,723.27,765.15,105.92,972.96,484.4,97.43,115.42,997.36,18.39,860.2,570.65,729.74,31.96
645.21,634.04,227.26,70.58,873.63,445.88,511.99,96.91,638.13,273.99,184.41,940.41,664.41,219.45,932.27,951.5,997.32,4.16,881.54,184.57,384.43,989.08,779.25,831.2,635.45,623.15,406.64,754.56,235.07,211.24,414.29,97.12,658.42,780.89,166.58,281.86,299.61,863.57,570.15,485.01,698.15,275.7,225.35,893.19,546.8,538.88,796.01,640.98,256.83
174.45,540.03,837.06,185.73,995.57,816.67,527.05,476.11,288.22,199.95,64.93,554.56,681.17,734.24,876.31,714.35,282.25,719.87,915.29,371.3,131.13,725.59,641.12,312.95,932.95,882.56,781.99,681.01,669.73,398.83,334.27,181.45,385.4,198.15,482.59,590.18,605.39,251.16,588.34,584.69,850.37,997.3,476.21,145.32,479.2,900.07,989.32,423.77,921.54
690.97,779.87,279.35,664.25,582.76,885.25,561.64,991.69,236.08,231.94,762.68,600.26,38.09,757.51,319.45,326.82,575.41,425.59,276.45,522.29,870.68,49.37,340.81,681.64,595.92,989.69,708.98,949.93,841.65,130.17,212.5,487.66,871.49,728.01,693.44,885.63,246.73,682.86,903.91,745.87,171.35,402.15,49.95,399.2,893.08,201.69,306.13,302.9,389.9
386.8,107.07,642.92,881.7,812.49,86.8,170.9,770.46,730.54,797.96,427.5,976.97,605.57,419.26,586.41,289.61,450.77,312.64,377.35,53.43,23.24,703.81,47.59,304.32,857.13,808.11,192.13,284.47,233.76,75.85,618.49,494.75,516.45,15.97,228.28,637.01,610.88,607.64,626.41,318.74,437.83,863.9,883.16,132.02,556.02,936.07,553.85,320.79,764.03
936.74,761.05,694.18,814.14,327.01,538.41,197.77,210.61,40.42,563.17,626.68,642.16,484.83,297.37,77.39,523.75,563.86,761.74,660.22,714.9,315.86,412.23,865.59,739.07,862.79,468.73,562.96,81.25,187.76,604.71,562.64,767.74,295.41,796.37,76.12,241.6,896.18,861.55,985.59,226.82,251.56,549.22,559.96,466.14,137.41,687.91,466.06,741.05,190.27
137.61,541.31,512.7,685.17,305.81,913.24,318.89,501.49,94.86,5.87,727.62,30.88,105.87,470.59,257.94,79.24,157.54,832.5,330.0,543.34,184.78,307.28,169.88,463.03,518.88,723.73,742.93,826.16,11.31,189.17,462.64,726.2,720.92,23.14,563.34,863.77,556.92,430.16,31.09,964.69,255.9,666.62,293.07,776.41,388.74,618.37,998.93,729.19,64.77
341.13,963.0,305.38,110.52,402.76,388.03,593.54,233.7,6.89,429.38,679.35,723.83,277.99,93.3,94.31,117.76,856.16,975.3,877.17,828.98,931.55,154.15,930.75,597.58,347.53,843.64,633.08,998.42,412.02,59.89,95.94,201.35,624.05,235.97,54.3,632.08,733.37,51.97,704.18,432.67,303.91,156.43,687.04,155.87,621.11,422.13,808.93,818.94,554.32
113.56,341.94,212.72,289.26,672.54,829.58,210.2,409.62,153.03,407.94,470.55,905.48,890.33,46.03,315.26,175.94,909.58,642.05,107.67,271.85,669.51,839.92,478.65,415.9,639.61,465.36,600.06,578.47,899.45,897.11,796.91,595.0,799.61,268.35,587.81,219.04,453.39,574.23,26.58,1.69,587.16,274.88,804.26,880.43,46.03,956.32,397.14,762.2,822.11
924.7,632.66,33.29,309.88,682.22,133.78,116.42,780.11,69.08,114.03,387.96,795.6,550.03,111.69,875.2,774.75,449.72,461.58,38.08,903.33,912.04,63.93,340.45,162.07,445.93,785.08,739.64,58.9,902.99,534.36,175.02,20.72,643.62,157.59,753.52,361.73,524.17,958.88,729.4,837.73,16.68,510.49,613.96,569.1,884.66,443.98,476.93,757.97,898.47
877.35,932.03,304.02,250.03,315.31,935.4,970.12,771.25,995.8,676.17,376.02,583.87,413.48,187.23,347.23,513.91,280.5,305.33,208.57,998.69,972.33,289.91,741.79,178.11,81.53,482.7,56.88,780.49,127.83,134.71,114.65,398.61,167.1,481.11,329.38,789.99,695.11,14.73,385.91,599.7,408.83,881.16,202.57,748.97,67.88,498.59,246.03,251.85,546.25
258.02,102.6,653.2,515.05,133.3,751.45,22.08,228.18,288.88,702.13,640.08,671.34,72.77,504.23,561.94,10.67,140.92,222.4,286.16,919.31,497.15,306.45,876.85,77.66,377.87,386.56,731.45,73.84,204.43,53.52,623.11,764.13,670.34,283.76,488.4,738.96,812.42,240.33,611.35,168.64,186.91,42.98,110.38,45.25,30.69,781.52,755.27,101.7,294.1
660.02,937.23,938.31,535.6,632.43,941.34,802.72,922.23,149.35,720.92,494.84,990.19,714.15,849.15,433.44,673.55,683.8,213.0,113.02,777.91,234.4,160.99,370.78,618.11,994.07,526.14,272.73,540.06,408.11,119.95,398.7,399.57,391.61,993.29,928.77,576.62,659.49,316.14,309.61,30.24,967.12,506.97,859.91,93.93,2.12,284.91,845.23,761.78,109.6
817.24,687.92,871.22,356.95,128.41,676.65,788.06,592.61,241.07,728.5,849.15,90.75,702.88,235.72,458.97,423.75,312.3,409.25,65.78,812.39,193.81,508.23,407.4,848.65,48.61,675.89,571.92,277.6,780.65,471.39,59.9,835.61,463.2,580.01,471.16,144.85,977.49,765.86,159.19,291.55,582.77,51.11,234.76,620.9,683.78,291.57,964.99,98.71,667.86
555.25,67.93,766.09,353.85,578.53,363.47,297.28,379.99,936.13,0.15,874.71,667.28,614.08,935.17,969.58,510.9,909.55,991.79,755.63,573.79,223.0,11.8,433.21,20.93,696.7,726.91,242.38,915.04,611.89,668.5,355.63,976.16,921.57,566.52,996.55,803.31,819.84,323.34,723.54,927.89,868.11,456.88,20.18,838.21,455.97,775.32,565.87,982.11,280.51
529.7,301.03,788.47,828.57,693.45,938.19,135.71,501.99,520.21,953.93,170.64,283.47,510.31,954.91,296.22,214.19,671.05,0.95,164.36,190.23,708.62,301.05,922.33,66.33,841.2,356.8,838.83,451.39,513.9,641.32,771.8,607.25,360.03,220.95,157.09,307.61,777.18,239.16,904.63,933.5,195.77,628.91,642.94,873.88,102.91,128.67,670.72,875.1,843.98
241.93,708.2,665.02,789.31,700.64,275.64,145.71,605.11,364.88,814.23,136.32,640.13,433.84,958.91,627.36,551.83,645.72,197.29,913.93,677.07,40.54,933.64,692.59,457.52,648.76,571.36,480.61,898.47,591.97,144.51,615.29,145.09,612.0,408.75,708.96,771.62,845.12,648.59,183.66,311.07,810.03,744.75,152.97,688.4,856.22,822.98,446.11,533.51,605.16
93.19,67.44,260.36,307.87,753.5,332.24,697.46,559.93,873.4,903.99,630.44,607.66,593.31,837.58,420.12,979.16,559.45,188.47,368.06,712.78,51.46,310.6,247.72,737.75,569.79,909.88,642.98,299.15,96.29,633.53,362.85,379.74,363.55,124.07,652.65,647.6,281.28,46.5,920.71,835.95,414.84,138.62,990.97,201.02,202.8,625.21,609.17,352.25,858.89
897.23,582.21,907.2,913.8,872.87,700.84,642.84,486.46,395.05,15.74,301.3,153.54,233.47,363.89,61.24,73.54,45.87,717.15,670.64,985.39,608.18,360.52,185.08,157.79,707.58,976.32,794.1,387.42,477.72,404.93,191.89,9.58,94.82,762.55,872.32,264.24,432.1,170.68,140.27,441.9,177.78,166.66,869.74,195.1,326.39,539.13,348.81,526.89,566.7
900.43,345.95,670.77,952.82,500.01,765.34,782.77,504.98,335.08,933.87,18.67,206.83,941.26,72.78,489.38,283.99,931.93,352.55,225.48,541.35,642.09,473.22,230.44,271.72,429.4,227.33,895.33,947.12,992.06,464.8,631.83,602.77,453.58,331.23,92.53,212.45,564.51,408.09,735.69,654.38,761.27,470.12,608.48,881.37,177.8,229.19,737.72,734.33,771.77
633.14,620.95,560.48,326.81,730.28,929.41,937.49,176.49,207.36,809.81,888.65,621.67,588.84,568.86,813.36,243.07,627.97,457.32,240.4,271.44,665.3,561.74,263.64,232.08,91.45,192.91,732.09,201.39,88.54,801.45,887.57,821.59,597.1,751.99,280.28,131.0,462.44,355.66,959.45,334.51,762.03,998.04,833.88,113.32,926.76,786.39,22.8,756.35,294.38
339.1,45.84,111.08,354.49,619.21,204.88,691.96,812.75,377.86,837.24,226.98,128.32,311.26,558.73,98.84,248.62,994.06,148.71,574.75,683.7,371.94,808.73,230.26,399.11,962.38,676.72,148.85,578.54,519.29,332.57,646.31,629.98,407.56,371.76,132.27,242.02,847.47,347.23,147.46,516.02,995.89,356.11,470.59,686.1,758.09,804.97,28.55,73.76,503.11
349.27,871.55,447.11,505.68,186.72,798.02,155.94,541.81,316.75,93.38,929.29,265.25,449.73,849.99,69.68,378.77,537.4,405.06,560.69,979.38,805.96,190.4,658.54,225.08,432.36,414.74,854.55,388.57,295.72,147.08,812.92,786.11,390.73,988.76,933.1,157.91,27.17,108.64,435.15,293.85,780.96,427.58,788.51,533.55,723.98,482.99,716.15,804.87,19.5
725.98,973.49,460.41,941.13,25.79,738.57,243.52,131.17,677.34,738.8,717.46,835.26,805.7,995.99,153.72,818.13,710.14,103.29,768.75,177.3,533.67,871.76,116.02,352.66,665.42,24.32,618.62,774.19,539.96,873.47,521.58,799.92,820.4,171.2,426.69,617.09,209.25,360.9,337.52,61.21,145.35,432.5,646.57,421.48,44.09,389.23,930.69,641.53,607.87
897.12,968.88,864.58,876.33,284.61,63.89,842.21,766.18,289.65,959.92,762.68,327.16,161.7,508.21,764.42,912.87,56.3,533.09,757.84,326.07,105.56,757.57,387.42,728.57,531.36,346.93,609.49,129.38,573.86,212.21,718.0,851.03,29.78,1.62,910.07,598.82,881.72,798.01,388.54,139.46,322.61,80.79,28.74,440.39,522.75,246.24,632.29,40.68,533.79
887.1,749.68,546.69,102.66,443.09,387.28,209.39,932.45,577.24,678.58,201.54,488.11,292.91,345.27,724.02,202.29,631.77,98.03,670.72,541.93,797.12,722.68,625.09,611.05,54.77,806.76,921.35,437.27,577.52,294.1,896.24,266.74,295.66,594.87,294.48,586.21,59.19,413.9,753.16,290.75,451.78,774.19,948.76,945.21,575.49,754.26,726.56,313.23,755.31
779.9,130.17,380.46,392.79,617.14,282.84,72.62,947.31,65.99,570.6,234.27,941.15,679.54,185.98,565.06,543.0,764.67,790.53,449.19,170.3,953.07,86.9,290.93,81.27,952.75,797.45,248.91,698.96,852.22,706.62,773.2,871.28,811.78,952.96,126.46,641.93,227.07,586.21,661.22,976.26,126.74,253.18,860.93,861.46,382.58,639.49,823.95,510.69,728.98
642.07,758.29,976.8,553.42,849.97,304.56,703.31,369.08,191.37,945.64,521.32,227.23,315.56,4.9,468.28,636.94,778.54,566.65,890.65,22.32,60.13,21.74,65.37,637.78,792.56,494.74,239.66,407.08,389.81,683.58,909.86,654.13,920.54,647.09,296.61,814.8,351.32,163.66,968.69,965.68,788.06,703.7,953.41,865.0,321.82,206.71,361.74,188.53,627.65
84.23,24.68,110.81,503.18,196.33,982.95,402.59,135.6,407.46,442.99,172.18,389.69,792.52,509.16,888.34,521.88,770.13,724.0,622.62,337.05,391.41,594.05,81.92,477.13,149.18,472.63,513.24,58.63,516.4,800.42,431.2,289.8,412.36,85.81,597.21,913.56,750.77,69.8,185.56,827.68,526.75,475.14,731.39,406.68,851.96,794.49,108.2,155.33,56.78
161.71,22.22,422.61,193.94,125.64,642.81,920.05,518.45,936.96,599.33,305.5,606.5,130.54,555.56,766.72,434.13,226.36,418.57,990.2,865.38,487.57,863.15,126.05,934.57,981.65,579.55,750.89,705.14,11.03,183.95,904.23,987.3,888.81,540.53,845.25,230.45,560.22,879.97,543.31,232.58,944.46,611.82,412.12,107.07,23.11,882.22,933.1,14.38,903.02
898.56,323.68,42.12,858.83,963.48,717.7,650.29,112.7,377.31,476.39,321.53,755.36,762.71,824.96,811.96,192.06,975.4,381.55,819.39,43.56,146.56,584.48,835.86,289.38,736.93,219.47,447.3,503.25,789.57,352.34,621.61,950.19,199.01,909.5,385.45,587.82,954.61,331.44,449.18,441.66,589.35,54.07,207.06,997.84,625.39,59.34,938.58,911.56,18.12
606.47,488.69,739.93,676.97,108.13,976.62,90.51,933.99,664.11,932.85,159.71,901.66,68.44,504.63,813.28,488.27,995.18,98.3,44.41,428.99,867.72,213.31,657.9,726.19,472.37,526.09,633.93,11.41,259.56,125.97,870.06,574.48,221.5,6.61,914.82,78.43,227.95,350.4,918.86,439.84,522.95,889.98,180.08,145.43,394.31,772.44,441.9,56.2,803.29
9.3,770.43,918.08,837.92,478.54,377.26,947.86,183.66,255.16,76.18,205.26,915.48,12.69,916.48,642.75,401.27,75.69,523.9,320.66,762.22,284.22,90.61,64.62,730.89,611.41,11.15,452.58,612.69,816.57,541.09,39.47,843.22,846.21,167.0,244.31,120.23,872.13,877.7,10.72,387.03,71.52,243.93,145.0,515.63,665.98,852.82,217.25,366.07,479.4
